cve_id,cvss_base_score,days_since_disclosure,cwe_ids,exploit_available,public_facing,data_sensitivity,has_patch,attack_vector_ADJACENT_NETWORK,attack_vector_LOCAL,attack_vector_NETWORK,attack_vector_PHYSICAL,attack_complexity_HIGH,attack_complexity_LOW,privileges_required_HIGH,privileges_required_LOW,privileges_required_NONE,user_interaction_NONE,user_interaction_REQUIRED,scope_CHANGED,scope_UNCHANGED,confidentiality_impact_HIGH,confidentiality_impact_LOW,confidentiality_impact_NONE,integrity_impact_HIGH,integrity_impact_LOW,integrity_impact_NONE,availability_impact_HIGH,availability_impact_LOW,availability_impact_NONE,risk_score
CVE-2012-4969,8.1,0,CWE-416,0,0,2,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,5.9
CVE-2012-5054,8.8,0,"CWE-190,CWE-190",0,1,1,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,6.8500000000000005
CVE-2012-2897,7.8,0,CWE-119,1,0,2,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.780000000000001
CVE-2012-3552,5.9,0,CWE-362,0,1,0,0,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,5.36
CVE-2012-3489,6.5,0,CWE-611,0,0,1,0,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,4.93
CVE-2012-4399,7.5,0,CWE-611,1,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,8.66
CVE-2012-5376,9.6,0,CWE-269,1,0,0,0,False,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False,8.84
CVE-2012-5379,7.3,0,Unknown,1,0,0,1,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,7.92
CVE-2012-5380,6.7,0,CWE-22,1,1,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,8.68
CVE-2012-5076,9.8,0,CWE-284,1,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.58
CVE-2012-0518,4.7,0,"CWE-601,CWE-601",0,0,2,0,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,4.54
CVE-2012-3152,9.1,0,Unknown,1,0,1,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,8.97
CVE-2012-4406,9.8,0,CWE-502,1,0,3,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.91
CVE-2012-3446,5.9,0,CWE-295,0,0,0,0,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,4.36
CVE-2012-5810,5.9,0,CWE-295,1,0,1,0,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,7.69
CVE-2012-5817,7.4,0,CWE-295,0,0,0,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,4.960000000000001
CVE-2012-5819,7.4,0,CWE-295,1,0,1,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,8.290000000000001
CVE-2012-5821,5.9,0,CWE-295,1,1,2,1,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,9.02
CVE-2012-5822,7.4,0,CWE-295,1,1,0,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,8.96
